Year,Team,Round,Pick,Position,Player
2013,Erik Stryshak,1,8,RB,Jamaal Charles
2013,Erik Stryshak,2,21,RB,Darren Sproles
2013,Erik Stryshak,3,36,TE,Jimmy Graham
2013,Erik Stryshak,4,49,WR,Reggie Wayne
2013,Erik Stryshak,5,64,RB,Lamar Miller
2013,Erik Stryshak,6,77,WR,Steve Johnson
2013,Erik Stryshak,7,92,WR,Miles Austin
2013,Erik Stryshak,8,105,QB,Eli Manning
2013,Erik Stryshak,9,120,RB,Fred Jackson
2013,Erik Stryshak,10,133,WR,Rueben Randle
2013,Erik Stryshak,11,148,RB,Johnathan Franklin
2013,Erik Stryshak,12,161,ST,Ravens D/ST
2013,Erik Stryshak,13,176,WR,Rod Streater
2013,Erik Stryshak,14,189,QB,Matt Flynn
2014,Erik Stryshak,1,5,WR,Calvin Johnson
2014,Erik Stryshak,2,24,RB,Giovani Bernard
2014,Erik Stryshak,3,33,TE,Julius Thomas
2014,Erik Stryshak,4,52,RB,Toby Gerhart
2014,Erik Stryshak,5,61,WR,Michael Floyd
2014,Erik Stryshak,6,80,RB,Bishop Sankey
2014,Erik Stryshak,7,89,WR,Mike Wallace
2014,Erik Stryshak,8,108,QB,Jay Cutler
2014,Erik Stryshak,9,117,WR,Justin Hunter
2014,Erik Stryshak,10,136,RB,Mark Ingram
2014,Erik Stryshak,11,145,WR,Marqise Lee
2014,Erik Stryshak,12,164,WR,Josh Gordon
2014,Erik Stryshak,13,173,WR,Jordan Matthews
2014,Erik Stryshak,14,192,ST,Steelers D/ST
2015,Erik Stryshak,1,10,WR,Dez Bryant
2015,Erik Stryshak,2,19,WR,Randall Cobb
2015,Erik Stryshak,3,38,WR,Jordan Matthews
2015,Erik Stryshak,4,47,RB,Andre Ellington
2015,Erik Stryshak,5,66,RB,T.J. Yeldon
2015,Erik Stryshak,6,75,RB,Doug Martin
2015,Erik Stryshak,7,94,TE,Delanie Walker
2015,Erik Stryshak,8,103,QB,Eli Manning
2015,Erik Stryshak,9,122,RB,Darren McFadden
2015,Erik Stryshak,10,131,WR,Brian Quick
2015,Erik Stryshak,11,150,QB,Teddy Bridgewater
2015,Erik Stryshak,12,159,QB,Carson Palmer
2015,Erik Stryshak,13,178,RB,Cameron Artis-Payne
2015,Erik Stryshak,14,187,ST,Chiefs D/ST
2016,Erik Stryshak,1,2,WR,Antonio Brown
2016,Erik Stryshak,2,27,WR,Keenan Allen
2016,Erik Stryshak,3,30,WR,Eric Decker
2016,Erik Stryshak,4,55,RB,Rashad Jennings
2016,Erik Stryshak,5,58,RB,Arian Foster
2016,Erik Stryshak,6,83,RB,Doug Martin
2016,Erik Stryshak,7,86,QB,Eli Manning
2016,Erik Stryshak,8,111,WR,Mike Wallace
2016,Erik Stryshak,9,114,TE,Julius Thomas
2016,Erik Stryshak,10,139,RB,Jay Ajayi
2016,Erik Stryshak,11,142,WR,Rishard Matthews
2016,Erik Stryshak,12,167,WR,Sammie Coates
2016,Erik Stryshak,13,170,WR,Victor Cruz
2016,Erik Stryshak,14,195,ST,Giants D/ST
2013,Charlie Frank,1,13,QB,Peyton Manning
2013,Charlie Frank,2,16,WR,A.J. Green
2013,Charlie Frank,3,41,RB,DeMarco Murray
2013,Charlie Frank,4,44,TE,Tony Gonzalez
2013,Charlie Frank,5,69,WR,Jordy Nelson
2013,Charlie Frank,6,72,WR,Eric Decker
2013,Charlie Frank,7,97,WR,Kenny Britt
2013,Charlie Frank,8,100,RB,Shane Vereen
2013,Charlie Frank,9,125,QB,Joe Flacco
2013,Charlie Frank,10,128,ST,Patriots D/ST
2013,Charlie Frank,11,153,TE,Martellus Bennett
2013,Charlie Frank,12,156,RB,Michael Bush
2013,Charlie Frank,13,181,RB,Pierre Thomas
2013,Charlie Frank,14,184,WR,Brandon Lloyd
2014,Charlie Frank,1,14,RB,Arian Foster
2014,Charlie Frank,2,15,WR,Demaryius Thomas
2014,Charlie Frank,3,42,QB,Cam Newton
2014,Charlie Frank,4,43,RB,Ryan Mathews
2014,Charlie Frank,5,70,WR,Marques Colston
2014,Charlie Frank,6,71,RB,Joique Bell
2014,Charlie Frank,7,98,TE,Martellus Bennett
2014,Charlie Frank,8,99,WR,Cecil Shorts III
2014,Charlie Frank,9,126,WR,Tavon Austin
2014,Charlie Frank,10,127,ST,Chiefs D/ST
2014,Charlie Frank,11,154,RB,C.J. Anderson
2014,Charlie Frank,12,155,QB,Carson Palmer
2014,Charlie Frank,13,182,TE,Tyler Eifert
2014,Charlie Frank,14,183,RB,Jacquizz Rodgers
2015,Charlie Frank,1,2,RB,Le'Veon Bell
2015,Charlie Frank,2,27,WR,Emmanuel Sanders
2015,Charlie Frank,3,30,WR,DeAndre Hopkins
2015,Charlie Frank,4,55,QB,Ben Roethlisberger
2015,Charlie Frank,5,58,WR,Sammy Watkins
2015,Charlie Frank,6,83,RB,Alfred Blue
2015,Charlie Frank,7,86,RB,Tevin Coleman
2015,Charlie Frank,8,111,TE,Larry Donnell
2015,Charlie Frank,9,114,QB,Sam Bradford
2015,Charlie Frank,10,139,WR,Stevie Johnson
2015,Charlie Frank,11,142,WR,Malcom Floyd
2015,Charlie Frank,12,167,ST,Lions D/ST
2015,Charlie Frank,13,170,RB,Jerick McKinnon
2015,Charlie Frank,14,195,RB,Khiry Robinson
2016,Charlie Frank,1,14,WR,Dez Bryant
2016,Charlie Frank,2,15,WR,Brandon Marshall
2016,Charlie Frank,3,42,WR,DeAndre Hopkins
2016,Charlie Frank,4,43,RB,Latavius Murray
2016,Charlie Frank,5,70,RB,DeAngelo Williams
2016,Charlie Frank,6,71,RB,Chris Ivory
2016,Charlie Frank,7,98,QB,Tyrod Taylor
2016,Charlie Frank,8,99,QB,Matthew Stafford
2016,Charlie Frank,9,126,TE,Martellus Bennett
2016,Charlie Frank,10,127,WR,Travis Benjamin
2016,Charlie Frank,11,154,RB,James White
2016,Charlie Frank,12,155,WR,Kenny Stills
2016,Charlie Frank,13,182,WR,Eli Rogers
2016,Charlie Frank,14,183,ST,Bills D/ST
2013,Brendan Hart,1,4,RB,Marshawn Lynch
2013,Brendan Hart,2,25,QB,Tom Brady
2013,Brendan Hart,3,32,WR,Andre Johnson
2013,Brendan Hart,4,53,WR,James Jones
2013,Brendan Hart,5,60,RB,David Wilson
2013,Brendan Hart,6,81,TE,Antonio Gates
2013,Brendan Hart,7,88,RB,Rashard Mendenhall
2013,Brendan Hart,8,109,ST,Broncos D/ST
2013,Brendan Hart,9,116,WR,Golden Tate
2013,Brendan Hart,10,137,QB,Matt Schaub
2013,Brendan Hart,11,144,RB,Shonn Greene
2013,Brendan Hart,12,165,WR,Santana Moss
2013,Brendan Hart,13,172,TE,Jermaine Gresham
2013,Brendan Hart,14,193,RB,Isaac Redman
2014,Brendan Hart,1,11,RB,DeMarco Murray
2014,Brendan Hart,2,18,WR,Dez Bryant
2014,Brendan Hart,3,39,WR,Vincent Jackson
2014,Brendan Hart,4,46,RB,Andre Ellington
2014,Brendan Hart,5,67,WR,T.Y. Hilton
2014,Brendan Hart,6,74,QB,Colin Kaepernick
2014,Brendan Hart,7,95,RB,Lamar Miller
2014,Brendan Hart,8,102,TE,Jordan Reed
2014,Brendan Hart,9,123,ST,Bengals D/ST
2014,Brendan Hart,10,130,RB,LeGarrette Blount
2014,Brendan Hart,11,151,WR,Markus Wheaton
2014,Brendan Hart,12,158,QB,Ryan Tannehill
2014,Brendan Hart,13,179,TE,Heath Miller
2014,Brendan Hart,14,186,WR,Andrew Hawkins
2015,Brendan Hart,1,6,RB,DeMarco Murray
2015,Brendan Hart,2,23,WR,Alshon Jeffery
2015,Brendan Hart,3,34,RB,Justin Forsett
2015,Brendan Hart,4,51,RB,Joseph Randle
2015,Brendan Hart,5,62,WR,Jarvis Landry
2015,Brendan Hart,6,79,WR,Charles Johnson
2015,Brendan Hart,7,90,QB,Philip Rivers
2015,Brendan Hart,8,107,WR,Roddy White
2015,Brendan Hart,9,118,TE,Dwayne Allen
2015,Brendan Hart,10,135,WR,Markus Wheaton
2015,Brendan Hart,11,146,ST,Cardinals D/ST
2015,Brendan Hart,12,163,WR,Terrance Williams
2015,Brendan Hart,13,174,QB,Jay Cutler
2015,Brendan Hart,14,191,RB,Reggie Bush
2016,Brendan Hart,1,10,RB,LeSean McCoy
2016,Brendan Hart,2,19,WR,Alshon Jeffery
2016,Brendan Hart,3,38,WR,Demaryius Thomas
2016,Brendan Hart,4,47,RB,Ryan Mathews
2016,Brendan Hart,5,66,RB,Matt Jones
2016,Brendan Hart,6,75,QB,Carson Palmer
2016,Brendan Hart,7,94,TE,Zach Ertz
2016,Brendan Hart,8,103,WR,Willie Snead
2016,Brendan Hart,9,122,WR,Stefon Diggs
2016,Brendan Hart,10,131,RB,David Johnson
2016,Brendan Hart,11,150,WR,Tyler Boyd
2016,Brendan Hart,12,159,RB,Christine Michael
2016,Brendan Hart,13,178,WR,Laquon Treadwell
2016,Brendan Hart,14,187,ST,Eagles D/ST
2013,Stefan Hanish,1,6,RB,Doug Martin
2013,Stefan Hanish,2,23,WR,Dez Bryant
