YEAR,WEEK,TEAM_NAME,QB_NAME,QB_SCORE,RB_NAME,RB_SCORE,RB_NAME,RB_SCORE,WR_NAME,WR_SCORE,WR_NAME,WR_SCORE,TE_NAME,TE_SCORE,DST_NAME,DST_SCORE,FLEX_NAME,FLEX_POS,FLEX_SCORE,total,qb%,rb%,rb%,wr%,wr%,te%,d%,flex%,
2013,1,Erik Stryshak,Eli Manning,30,Lamar Miller,0.5,Jamaal Charles,16.5,Steve Johnson,10.5,Reggie Wayne,19,Jimmy Graham,12,Browns D/ST,8,Darren Sproles,rb,13,109.5,27.4%,0.5%,15.1%,9.6%,17.4%,11.0%,7.3%,11.9%,
2013,2,Erik Stryshak,Terrelle Pryor,10,Fred Jackson,14.5,Jamaal Charles,19,Steve Johnson,21,Reggie Wayne,6.5,Jimmy Graham,28,Panthers D/ST,4,Darren Sproles,rb,8,111,9.0%,13.1%,17.1%,18.9%,5.9%,25.2%,3.6%,7.2%,
2013,3,Erik Stryshak,Eli Manning,3,Lamar Miller,6.5,Jamaal Charles,26.5,Steve Johnson,13,Reggie Wayne,7,Jimmy Graham,29.5,Titans D/ST,9,Darren Sproles,rb,6,100.5,3.0%,6.5%,26.4%,12.9%,7.0%,29.4%,9.0%,6.0%,
2013,4,Erik Stryshak,Matt Flynn,7,Lamar Miller,12.5,Jamaal Charles,20.5,Steve Johnson,0.5,Reggie Wayne,18.5,Jimmy Graham,24,Titans D/ST,24,Darren Sproles,rb,26.5,133.5,5.2%,9.4%,15.4%,0.4%,13.9%,18.0%,18.0%,19.9%,
2013,5,Erik Stryshak,Terrelle Pryor,19,Lamar Miller,1,Jamaal Charles,19.5,Josh Gordon,16,Reggie Wayne,11,Jimmy Graham,18,Browns D/ST,18,Darren Sproles,rb,5.5,108,17.6%,0.9%,18.1%,14.8%,10.2%,16.7%,16.7%,5.1%,
2013,6,Erik Stryshak,Terrelle Pryor,11,Jamaal Charles,26.5,Darren Sproles,9,Josh Gordon,15.5,Reggie Wayne,10.5,Jimmy Graham,0,Steelers D/ST,14,Willis McGahee,rb,3.5,90,12.2%,29.4%,10.0%,17.2%,11.7%,0.0%,15.6%,3.9%,
2013,7,Erik Stryshak,Alex Smith,15.5,Lamar Miller,4.5,Jamaal Charles,16.5,Josh Gordon,3,Reggie Wayne,7.5,Kyle Rudolph,3.5,Titans D/ST,1,Andre Ellington,rb,2,53.5,29.0%,8.4%,30.8%,5.6%,14.0%,6.5%,1.9%,3.7%,
2013,8,Erik Stryshak,Terrelle Pryor,15,Jamaal Charles,13.5,Darren Sproles,2,Josh Gordon,21.5,Steve Johnson,16.5,Kyle Rudolph,7,Raiders D/ST,11,Andre Ellington,rb,22,108.5,13.8%,12.4%,1.8%,19.8%,15.2%,6.5%,10.1%,20.3%,
2013,9,Erik Stryshak,Terrelle Pryor,16,Jamaal Charles,12,Zac Stacy,32,Josh Gordon,6.5,Steve Johnson,6.5,Jimmy Graham,27.5,Titans D/ST,6,Darren Sproles,rb,0.5,107,15.0%,11.2%,29.9%,6.1%,6.1%,25.7%,5.6%,0.5%,
2013,10,Erik Stryshak,Case Keenum,19,Lamar Miller,1,Zac Stacy,13,Steve Johnson,5.5,Darrius Heyward-Bey,4.5,Jimmy Graham,7.5,Titans D/ST,9,Andre Ellington,rb,7,66.5,28.6%,1.5%,19.5%,8.3%,6.8%,11.3%,13.5%,10.5%,
