YEAR,WEEK,TEAM_NAME,QB_NAME,QB_SCORE,RB_NAME,RB_SCORE,RB_NAME,RB_SCORE,WR_NAME,WR_SCORE,WR_NAME,WR_SCORE,TE_NAME,TE_SCORE,DST_NAME,DST_SCORE,FLEX_NAME,FLEX_POS,FLEX_SCORE
2013,1,Trey Shmo,Andrew Luck,24,Trent Richardson,8,BenJarvus Green-Ellis,8.5,Cecil Shorts,5.5,Wes Welker,20.5,Jermichael Finley,13.5,Colts D/ST,5,Frank Gore,rb,13
2013,2,Trey Shmo,Andrew Luck,17,Trent Richardson,9.5,BenJarvus Green-Ellis,7.5,Cecil Shorts,13,Wes Welker,10.5,Jermichael Finley,15,Colts D/ST,8,Frank Gore,rb,2.5
2013,3,Trey Shmo,Alex Smith,13,Trent Richardson,9,Daniel Thomas,9.5,Cecil Shorts,18,Wes Welker,17.5,Jermichael Finley,0,Bills D/ST,1,Frank Gore,rb,11
2013,4,Trey Shmo,Andrew Luck,18,Trent Richardson,12.5,BenJarvus Green-Ellis,1,Cecil Shorts,9.5,Wes Welker,22.5,Tyler Eifert,4.5,Bills D/ST,14,Frank Gore,rb,19
2013,5,Trey Shmo,Eli Manning,15,Trent Richardson,5,Frank Gore,14,Cecil Shorts,15.5,Wes Welker,12.5,Jermichael Finley,6,Bills D/ST,7,Jeremy Kerley,wr,14.5
2013,6,Trey Shmo,Andrew Luck,7,Trent Richardson,5.5,Frank Gore,10,Cecil Shorts,0,Wes Welker,15,Jermichael Finley,8.5,Jets D/ST,5,Jerome Simpson,wr,5
2013,7,Trey Shmo,Andrew Luck,29,Trent Richardson,1,Frank Gore,23,Cecil Shorts,12,Wes Welker,12.5,Jermichael Finley,15.5,Jets D/ST,16,Rueben Randle,wr,9.5
2013,8,Trey Shmo,Eli Manning,9,Mike James,7,Frank Gore,17.5,Cecil Shorts,10.5,Wes Welker,17,Tyler Eifert,3,Steelers D/ST,12,Rueben Randle,wr,0
2013,9,Trey Shmo,Andrew Luck,24,Trent Richardson,6,Mike James,20,Drew Davis,0.5,Lance Moore,10,Coby Fleener,9.5,Browns D/ST,11,Jeremy Kerley,wr,0.5
2013,10,Trey Shmo,Andrew Luck,13,Trent Richardson,4.5,Mike James,4,Cecil Shorts,5,Wes Welker,3.5,Coby Fleener,7,Raiders D/ST,20,Frank Gore,rb,11
